Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
GBR,New Concept Energy Inc Common Stock,$4.48,-0.24,-5.085%,22991069.00,United States,,495443,Energy,Oil & Gas Production
GDP,Goodrich Petroleum Corporation Common Stock,$10.16,-0.17,-1.646%,128582776.00,United States,2017,72921,Energy,Oil & Gas Production
GGN,GAMCO Global Gold Natural Resources & Income Trust,$3.40,-0.03,-0.875%,560699035.00,United States,2005,1799947,,
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$25.35,-0.12,-0.471%,,United States,,7052,,
GGO,The Gabelli Go Anywhere Trust Common Shares of Beneficial Interest,$14.10,-0.0001,-0.001%,21851151.00,,2016,341,,
GGO^A,The Gabelli Go Anywhere Trust Series A Cumulative Puttable and Callable Preferred Shares,$40.90,-0.075,-0.183%,,,,112,,
GLDG,GoldMining Inc. Common Shares,$1.50,0.02,1.351%,223098213.00,,,418685,Basic Industries,Precious Metals
GLO,Clough Global Opportunities Fund Common Stock,$12.07,-0.08,-0.658%,388948653.00,United States,2006,116827,,
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$14.95,-0.349,-2.281%,197800894.00,United States,2005,76428,,
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$18.815,0.1669,0.895%,101103870.00,United States,2004,6442,,
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,$44.62,-1.90,-4.084%,,United States,,279,,
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$52.282,0.078,0.149%,,United States,,1000,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$11.17,0.02,0.179%,93914277.00,United States,2004,27322,,
GOED,1847 Goedeker Inc. Commom Stock,$10.87,0.90,9.027%,66428744.00,United States,2020,26916,Consumer Services,Home Furnishings
GORO,Gold Resource Corporation Common Stock,$2.60,-0.03,-1.141%,193541933.00,United States,,654680,Basic Industries,Precious Metals
GPL,Great Panther Mining Limited Ordinary Shares (Canada),$0.802,-0.033,-3.952%,284491710.00,Canada,,2266386,Basic Industries,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,$8.06,0.06,0.75%,32839027.00,United States,,389,,
GSAT,Globalstar Inc. Common Stock,$1.38,-0.04,-2.817%,2315472653.00,United States,2006,16661700,Consumer Services,Telecommunications Equipment
GSS,Golden Star Resources Ltd Common Stock,$3.05,0.02,0.66%,339506465.00,United States,,371154,Basic Industries,Precious Metals
GSV,Gold Standard Ventures Corporation Common Stock (Canada),$0.5714,0.0003,0.053%,204261904.00,Canada,,4909497,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GTE,Gran Tierra Energy Inc. Common Stock,$0.79,-0.0124,-1.545%,289915429.00,Canada,,11064741,Energy,Oil & Gas Production
HLM^,Hillman Group Capital Trust Preferred Stock,$25.58,0.03,0.117%,,United States,,25419,,
HMG,HMG/Courtland Properties Inc. Common Stock,$12.495,0.00,0.00%,12585564.00,United States,,3,Consumer Services,Real Estate Investment Trusts
HNW,Pioneer Diversified High Income Trust Pioneer Diversified High Income Trust Common Shares of Beneficial Interest,$14.68,-0.02,-0.136%,122325357.00,United States,2007,19158,,
HUSA,Houston American Energy Corporation Common Stock,$2.08,-0.11,-5.023%,18899375.00,United States,,958660,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$72.77,0.00,0.00%,,United States,,102,,
IAF,Aberdeen Australia Equity Fund Inc Common Stock,$5.64,-0.05,-0.879%,130433466.00,United States,,73604,,
IBIO,iBio Inc. Common Stock,$1.45,0.03,2.113%,313214400.00,United States,,6214061,Health Care,Major Pharmaceuticals
ID,PARTS iD Inc. Class A Common Stock,$6.07,-0.13,-2.097%,199541890.00,United States,2017,31440,Technology,Advertising
IGC,India Globalization Capital Inc. Common Stock,$1.58,-0.05,-3.067%,71678790.00,United States,,1695127,Technology,Electronic Components
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$2.51,0.13,5.462%,22821949.00,United States,,55588,Consumer Services,Real Estate Investment Trusts
IMH,Impac Mortgage Holdings Inc. Common Stock ,$2.83,-0.11,-3.741%,60080495.00,United States,1997,88970,Consumer Services,Real Estate Investment Trusts
IMO,Imperial Oil Limited Common Stock,$24.16,0.49,2.07%,17735294401.00,Canada,,754921,Energy,Integrated oil Companies
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$7.65,-0.35,-4.375%,56670856.00,,2019,26645,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$17.92,0.51,2.929%,362645821.00,United States,,91512,Health Care,Medical/Dental Instruments
INS,Intelligent Systems Corporation Common Stock,$37.33,-0.67,-1.763%,331706802.00,United States,1992,79407,Technology,Computer Software: Prepackaged Software
INTT,inTest Corporation Common Stock,$9.73,0.64,7.041%,102448367.00,United States,1997,192251,Capital Goods,Electrical Products
INUV,Inuvo Inc.,$1.07,-0.03,-2.727%,126809341.00,United States,,4369211,Consumer Services,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$11.6413,-0.0187,-0.16%,48523430.00,United States,,266,Consumer Services,Real Estate Investment Trusts
ISDR,Issuer Direct Corporation Common Stock,$21.34,0.92,4.505%,80467848.00,United States,,15474,Miscellaneous,Publishing
ISR,IsoRay Inc. Common Stock (DE),$1.08,0.05,4.854%,152495841.00,United States,,3962009,Health Care,Medical/Dental Instruments
ITP,IT Tech Packaging Inc. Common Stock,$0.62,-0.0108,-1.712%,61360408.00,China,,8313429,Consumer Durables,Containers/Packaging
ITRG,Integra Resources Corp. Common Shares,$2.86,-0.03,-1.038%,156179386.00,,,65515,Basic Industries,Precious Metals
JOB,GEE Group Inc. Common Stock,$1.41,0.03,2.174%,24910643.00,United States,,168855,Technology,Diversified Commercial Services
KIQ,Kelso Technologies Inc Ordinary Shares,$0.8206,-0.0494,-5.678%,38707773.00,Canada,,1390150,Capital Goods,Railroads
KLR,Kaleyra Inc. Common Stock,$15.45,-1.47,-8.688%,467960214.00,United States,2018,703541,Technology,EDP Services
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$1.77,-0.08,-4.324%,265466984.00,United States,,1552633,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,$22.80,-0.70,-2.979%,279782562.00,United States,2014,78983,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
LGL,LGL Group Inc. (The) Common Stock,$12.14,0.29,2.447%,63848460.00,United States,,4315,Capital Goods,Industrial Machinery/Components
LNG,Cheniere Energy Inc. Common Stock,$73.20,0.55,0.757%,18558329022.00,United States,,1366716,Public Utilities,Oil/Gas Transmission
LODE,Comstock Mining Inc. Common Stock,$4.03,-0.30,-6.928%,152799525.00,United States,,1362673,Basic Industries,Precious Metals
LOV,Spark Networks Inc. American Depositary Shares (each representing one-tenth of an Ordinary Share),$4.86,-0.19,-3.762%,126636437.00,United States,2017,77838,Consumer Services,Other Consumer Services
LSF,Laird Superfood Inc. Common Stock,$33.27,-2.48,-6.937%,295267590.00,,2020,116606,Consumer Non-Durables,Packaged Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$20.65,0.51,2.532%,570686559.00,United Kingdom,2012,100779,Basic Industries,Major Chemicals
MAG,MAG Silver Corporation Ordinary Shares,$16.38,-0.33,-1.975%,1551894959.00,Canada,,740106,Basic Industries,Precious Metals
MCF,Contango Oil & Gas Company Common Stock (TX),$4.97,-0.27,-5.153%,863227491.00,United States,,1742985,Energy,Oil & Gas Production
